"","FID","Year.x","CY","pixFAV","pixSAV","pixWat","percFAV","percSAV","percWat","spr1cy","spr2cy","spr3cy","pszsav","pszfav","uniqueID","SprTtlYrs","Orig_FID","Habitat","Stratum","index","SprayPolyAreaM2","Latitude","Longitude","RID","DBWsiteAreaM2","yr_corr","yr_rid","ttlX24D","ttlGlyph","cnt.rws","Year.y","AggHabitat","AggStratum"
"528",223,"2005",0,91,2339,1443,0.0234959979344178,0.603924606248386,0.372579395817196,0,2,0,33048,2277,"223_2005",1,226,"DeadendSlough","SoutheastDelta",528,113109.88,38.174274,-121.436687,205,464692.29,"2004","2004_205",0,0.5,1,2004,"SlowShallows","SoutheastDelta"
"529",224,"2005",4,2,2567,9802,0.000161668418074529,0.207501414598658,0.792336916983267,0,0,0,44847,234,"224_2005",7,227,"DeadendSlough","SoutheastDelta",529,235696.57,38.170923,-121.452194,205,464692.29,"2004","2004_205",0,0.5,1,2004,"SlowShallows","SoutheastDelta"
"530",227,"2005",2,134,2816,5657,0.0155687231323341,0.327175554780992,0.657255722086674,0,0,0,10035,936,"227_2005",15,230,"SlowShallows","SoutheastDelta",530,130757.28,38.12269,-121.496864,200,646224.15,"2004","2004_200",2.5,0,1,2004,"SlowShallows","SoutheastDelta"
"531",233,"2005",0,0,152,1199,0,0.112509252405625,0.887490747594375,1,0,0,477,0,"233_2005",8,236,"Channel","SoutheastDelta",531,15608.09,38.119816,-121.536901,201,808306.37,"2004","2004_201",6.5,0,3,2004,"Channel","SoutheastDelta"
"532",244,"2005",1,110,972,2435,0.0312766562411146,0.276371907876031,0.692351435882855,0,0,0,6723,4023,"244_2005",4,247,"SlowShallows","NortheastDelta",532,99176.7,38.199788,-121.614645,252,774689.19,"2004","2004_252",10,0,6,2004,"SlowShallows","NorthDelta"
"533",245,"2005",0,23,265,1047,0.0172284644194757,0.198501872659176,0.784269662921348,0,0,0,2160,81,"245_2005",6,248,"SlowShallows","NortheastDelta",533,31806,38.232636,-121.669067,262,1247393.85,"2004","2004_262",2.5,0,1,2004,"SlowShallows","NorthDelta"
"534",247,"2005",1,348,254,2450,0.114023591087811,0.0832241153342071,0.802752293577982,0,0,0,9252,702,"247_2005",9,250,"SlowShallows","NortheastDelta",534,64871.7,38.235369,-121.669236,262,1247393.85,"2004","2004_262",2.5,0,1,2004,"SlowShallows","NorthDelta"
"535",249,"2005",0,32,530,5270,0.00548696844993141,0.090877914951989,0.90363511659808,0,0,0,8604,9,"249_2005",2,252,"FloodedIsland","NortheastDelta",535,62640,38.242896,-121.66347,262,1247393.85,"2004","2004_262",2.5,0,1,2004,"FloodedIsland","NorthDelta"
"536",250,"2005",0,33,133,10080,0.00322076908061683,0.0129806753855163,0.983798555533867,0,0,0,2187,18,"250_2005",4,253,"FloodedIsland","CacheSlLibertyIs",536,104887.69,38.253856,-121.690748,272,1320022.84,"2004","2004_272",5,0,2,2004,"FloodedIsland","NorthDelta"
"537",251,"2005",0,0,135,7233,0,0.0183224755700326,0.981677524429967,0,0,0,1260,0,"251_2005",3,254,"FloodedIsland","CacheSlLibertyIs",537,71379.98,38.249781,-121.689837,272,1320022.84,"2004","2004_272",5,0,2,2004,"FloodedIsland","NorthDelta"
"538",252,"2005",0,57,115,2045,0.0257104194857916,0.051871898962562,0.922417681551646,0,0,0,738,108,"252_2005",2,255,"FloodedIsland","CacheSlLibertyIs",538,26328.08,38.245575,-121.694431,272,1320022.84,"2004","2004_272",5,0,2,2004,"FloodedIsland","NorthDelta"
"539",253,"2005",0,2,38,629,0.00298953662182362,0.0568011958146487,0.940209267563528,0,0,0,333,18,"253_2005",4,256,"FloodedIsland","CacheSlLibertyIs",539,10426.3,38.255327,-121.693504,272,1320022.84,"2004","2004_272",5,0,2,2004,"FloodedIsland","NorthDelta"
"540",254,"2005",1,8,41,1047,0.0072992700729927,0.0374087591240876,0.95529197080292,0,0,0,1386,243,"254_2005",10,257,"FloodedIsland","CacheSlLibertyIs",540,25908.25,38.252823,-121.67074,267,5786118.91,"2004","2004_267",10.25,0,4,2004,"FloodedIsland","NorthDelta"
"541",255,"2005",1,146,51,459,0.222560975609756,0.0777439024390244,0.69969512195122,0,0,0,396,207,"255_2005",8,258,"Channel","CacheSlLibertyIs",541,9547.27,38.277156,-121.663945,267,5786118.91,"2004","2004_267",10.25,0,4,2004,"Channel","NorthDelta"
"542",256,"2005",1,659,18,542,0.540607054963084,0.014766201804758,0.444626743232158,0,0,0,513,2016,"256_2005",3,259,"FloodedIsland","CacheSlLibertyIs",542,19325.9,38.286769,-121.662084,270,6970384.44,"2004","2004_270",8,0,3,2004,"FloodedIsland","NorthDelta"
"543",260,"2005",0,40,81,814,0.0427807486631016,0.0866310160427807,0.870588235294118,0,0,0,882,495,"260_2005",1,263,"SlowShallows","CacheSlLibertyIs",543,12647.37,38.291429,-121.716455,278,494797.56,"2004","2004_278",NA,NA,NA,NA,"SlowShallows","NorthDelta"
"544",266,"2005",0,22,55,740,0.0269277845777234,0.0673194614443084,0.905752753977968,0,0,0,387,252,"266_2005",1,269,"Channel","CacheSlLibertyIs",544,14761.65,38.292816,-121.741027,280,355735.25,"2004","2004_280",NA,NA,NA,NA,"Channel","NorthDelta"
"545",272,"2005",0,403,341,6229,0.0577943496343037,0.0489029112290262,0.89330273913667,0,0,0,2025,2898,"272_2005",4,275,"FloodedIsland","CacheSlLibertyIs",545,99489.45,38.273818,-121.70304,277,1616612.69,"2004","2004_277",NA,NA,NA,NA,"FloodedIsland","NorthDelta"
"546",273,"2005",0,62,135,6027,0.00996143958868895,0.0216902313624679,0.968348329048843,0,0,0,2448,954,"273_2005",1,276,"FloodedIsland","CacheSlLibertyIs",546,105903.93,38.27488,-121.696602,277,1616612.69,"2004","2004_277",NA,NA,NA,NA,"FloodedIsland","NorthDelta"
"547",275,"2005",0,532,41,800,0.387472687545521,0.0298616168973052,0.582665695557174,0,0,0,594,4293,"275_2005",5,278,"FloodedIsland","CacheSlLibertyIs",547,21603.34,38.264395,-121.669441,267,5786118.91,"2004","2004_267",10.25,0,4,2004,"FloodedIsland","NorthDelta"
"548",276,"2005",0,1147,3848,1823,0.168231152830742,0.564388383690232,0.267380463479026,0,0,0,33309,14193,"276_2005",0,279,"DeadendSlough","CacheSlLibertyIs",548,188195.33,38.248881,-121.726163,282,429530.56,"2004","2004_282",NA,NA,NA,NA,"SlowShallows","NorthDelta"
"549",277,"2005",1,15,225,3766,0.00374438342486271,0.0561657513729406,0.940089865202197,0,0,0,1665,378,"277_2005",8,280,"FloodedIsland","CacheSlLibertyIs",549,68364.77,38.237655,-121.677739,267,5786118.91,"2004","2004_267",10.25,0,4,2004,"FloodedIsland","NorthDelta"
"550",279,"2005",0,207,8095,3704,0.0172413793103448,0.674246210228219,0.308512410461436,0,0,0,80847,1647,"279_2005",6,282,"FloodedIsland","SouthwestDelta",550,137287.99,37.858902,-121.572549,87,604326.28,"2004","2004_87",NA,NA,NA,NA,"FloodedIsland","SouthwestDelta"
"551",281,"2005",0,617,2313,290,0.191614906832298,0.71832298136646,0.0900621118012422,0,0,0,23868,3744,"281_2005",5,284,"SlowShallows","SouthwestDelta",551,43218.44,37.859553,-121.574884,87,604326.28,"2004","2004_87",NA,NA,NA,NA,"SlowShallows","SouthwestDelta"
"552",282,"2005",0,0,1133,1536,0,0.424503559385538,0.575496440614462,0,0,0,2484,1179,"282_2005",4,285,"Channel","SouthwestDelta",552,27491.32,37.864152,-121.574619,87,604326.28,"2004","2004_87",NA,NA,NA,NA,"Channel","SouthwestDelta"
"553",286,"2005",0,3162,11298,338,0.213677523989728,0.763481551561022,0.0228409244492499,0,0,0,112095,13869,"286_2005",6,289,"FloodedIsland","SouthwestDelta",553,153398.96,37.854294,-121.543962,85,509192.61,"2004","2004_85",9.5,0,4,2004,"FloodedIsland","SouthwestDelta"
"554",287,"2005",0,29,986,2228,0.00894233734196731,0.304039469626889,0.687018193031144,0,0,0,9261,2331,"287_2005",6,290,"Channel","SouthwestDelta",554,38646.51,37.855074,-121.540996,85,509192.61,"2004","2004_85",9.5,0,4,2004,"Channel","SouthwestDelta"
"555",288,"2005",0,39,1369,1592,0.013,0.456333333333333,0.530666666666667,0,0,0,8307,7758,"288_2005",6,291,"Channel","SouthwestDelta",555,36517.67,37.854071,-121.54183,85,509192.61,"2004","2004_85",9.5,0,4,2004,"Channel","SouthwestDelta"
"556",289,"2005",0,922,3259,5159,0.0987152034261242,0.348929336188437,0.552355460385439,0,2,0,28503,16929,"289_2005",9,292,"FloodedIsland","SouthwestDelta",556,130610.52,37.849064,-121.536419,84,364242.01,"2004","2004_84",15,0,6,2004,"FloodedIsland","SouthwestDelta"
"557",290,"2005",0,34,1693,5559,0.00466648366730716,0.232363436727971,0.762970079604721,0,2,0,12402,3231,"290_2005",9,293,"Channel","SouthwestDelta",557,90627.8,37.846902,-121.538734,84,364242.01,"2004","2004_84",15,0,6,2004,"Channel","SouthwestDelta"
"558",291,"2005",0,120,286,495,0.133185349611543,0.317425083240844,0.549389567147614,0,2,0,4473,5850,"291_2005",6,294,"FloodedIsland","SouthwestDelta",558,69492.49,37.848498,-121.536788,84,364242.01,"2004","2004_84",15,0,6,2004,"FloodedIsland","SouthwestDelta"
"559",292,"2005",0,91,702,315,0.082129963898917,0.633574007220217,0.284296028880866,0,2,0,1575,7308,"292_2005",8,295,"SlowShallows","SouthwestDelta",559,23415.48,37.841329,-121.539548,84,364242.01,"2004","2004_84",15,0,6,2004,"SlowShallows","SouthwestDelta"
"560",294,"2005",0,126,700,10105,0.0115268502424298,0.0640380569023877,0.924435092855183,0,1,0,4068,8334,"294_2005",10,297,"Channel","SouthwestDelta",560,129741.27,37.827413,-121.552094,83,177948.43,"2004","2004_83",11,0,5,2004,"Channel","SouthwestDelta"
"561",295,"2005",0,574,1582,979,0.183094098883573,0.504625199362041,0.312280701754386,0,2,0,6759,14355,"295_2005",8,298,"SlowShallows","SouthwestDelta",561,62941.99,37.832256,-121.549604,84,364242.01,"2004","2004_84",15,0,6,2004,"SlowShallows","SouthwestDelta"
"562",296,"2005",0,3224,437,822,0.719161275931296,0.0974793664956502,0.183359357573054,0,0,0,16857,65601,"296_2005",0,299,"DeadendSlough","SoutheastDelta",562,171053,37.896482,-121.481678,64,489304.77,"2004","2004_64",NA,NA,NA,NA,"SlowShallows","SoutheastDelta"
"563",297,"2005",0,3937,1994,137,0.648813447593935,0.32860909690178,0.0225774555042848,0,0,0,39267,24102,"297_2005",0,300,"Channel","SoutheastDelta",563,276857.7,37.90758,-121.458469,64,489304.77,"2004","2004_64",NA,NA,NA,NA,"Channel","SoutheastDelta"
"564",298,"2005",0,1519,774,93,0.636630343671417,0.324392288348701,0.0389773679798826,0,0,0,32247,14535,"298_2005",0,301,"Channel","SoutheastDelta",564,101853.6,37.918466,-121.442133,64,489304.77,"2004","2004_64",NA,NA,NA,NA,"Channel","SoutheastDelta"
"565",299,"2005",0,2533,49,485,0.82588849038148,0.015976524290838,0.158134985327682,0,0,0,1611,41256,"299_2005",0,302,"DeadendSlough","SoutheastDelta",565,90226.26,37.926739,-121.436133,63,128044.8,"2004","2004_63",NA,NA,NA,NA,"SlowShallows","SoutheastDelta"
"566",300,"2005",0,1863,46,23,0.964285714285714,0.0238095238095238,0.0119047619047619,0,0,0,684,18504,"300_2005",0,303,"Channel","SoutheastDelta",566,34745.51,37.934303,-121.434394,63,128044.8,"2004","2004_63",NA,NA,NA,NA,"Channel","SoutheastDelta"
"567",301,"2005",4,460,788,2653,0.1179184824404,0.201999487310946,0.680082030248654,0,0,0,6039,2421,"301_2005",16,304,"Channel","SoutheastDelta",567,49226.94,37.982535,-121.473675,12,532677.87,"2004","2004_12",9.25,0,4,2004,"Channel","SoutheastDelta"
"568",303,"2005",3,1,465,6960,0.000134661998384056,0.0626178292485861,0.93724750875303,0,0,0,3231,459,"303_2005",11,306,"Channel","SoutheastDelta",568,92959.21,38.101219,-121.562062,18,1375406.17,"2004","2004_18",2.75,0,1,2004,"Channel","SoutheastDelta"
"569",304,"2005",3,41,1334,4858,0.00657789186587518,0.214022140221402,0.779399967912723,0,0,0,5886,927,"304_2005",12,307,"Channel","SoutheastDelta",569,91793.16,38.109957,-121.576868,18,1375406.17,"2004","2004_18",2.75,0,1,2004,"Channel","SoutheastDelta"
"570",305,"2005",1,28,190,216,0.0645161290322581,0.43778801843318,0.497695852534562,0,0,0,1098,36,"305_2005",11,308,"SlowShallows","SoutheastDelta",570,16522.82,38.112459,-121.582255,18,1375406.17,"2004","2004_18",2.75,0,1,2004,"SlowShallows","SoutheastDelta"
"571",306,"2005",2,30,1802,3378,0.00575815738963532,0.345873320537428,0.648368522072937,0,0,0,13059,5769,"306_2005",13,309,"Channel","LowerSJRiver",571,63043.5,38.111755,-121.616129,19,3126152.92,"2004","2004_19",11.25,0,4,2004,"Channel","LowerSJRiver"
"572",307,"2005",4,320,1048,1264,0.121580547112462,0.398176291793313,0.480243161094225,0,0,0,11331,3816,"307_2005",13,310,"Channel","SoutheastDelta",572,28461.54,37.885599,-121.486183,49,330908.44,"2004","2004_49",20.75,0,9,2004,"Channel","SoutheastDelta"
"573",309,"2005",4,26,701,1472,0.0118235561618918,0.318781264211005,0.669395179627103,0,0,0,7749,207,"309_2005",14,312,"Channel","SoutheastDelta",573,47697.21,37.886073,-121.402896,47,194402.64,"2004","2004_47",26.25,0,12,2004,"Channel","SoutheastDelta"
"574",310,"2005",1,350,216,1544,0.165876777251185,0.102369668246445,0.73175355450237,0,0,0,12438,5580,"310_2005",11,313,"Channel","SoutheastDelta",574,39790.14,37.918501,-121.307479,6,215713.95,"2004","2004_6",8.75,0,3,2004,"Channel","SoutheastDelta"
"575",311,"2005",1,38,43,238,0.119122257053292,0.134796238244514,0.746081504702194,0,0,0,2646,144,"311_2005",11,314,"Channel","SoutheastDelta",575,5480.48,37.915458,-121.304462,6,215713.95,"2004","2004_6",8.75,0,3,2004,"Channel","SoutheastDelta"
"576",312,"2005",1,2,260,1015,0.00156617071260767,0.203602192638998,0.794831636648395,0,0,0,1224,18,"312_2005",7,315,"Channel","SouthwestDelta",576,17264.45,37.964432,-121.603422,96,239442.33,"2004","2004_96",14.25,0,7,2004,"Channel","SouthwestDelta"
"577",313,"2005",0,31,940,5320,0.00492767445557145,0.149419806072167,0.845652519472262,3,0,0,3690,54,"313_2005",4,316,"FloodedIsland","SouthwestDelta",577,61830.18,37.988325,-121.515998,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"FloodedIsland","SouthwestDelta"
"578",314,"2005",0,11,807,2485,0.00333030578262186,0.244323342415985,0.752346351801393,3,0,0,3006,36,"314_2005",3,317,"FloodedIsland","SouthwestDelta",578,33544.33,37.991739,-121.512975,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"FloodedIsland","SouthwestDelta"
"579",315,"2005",0,644,1564,2974,0.124276341181011,0.301813971439599,0.57390968737939,3,0,0,12942,5157,"315_2005",8,318,"Channel","SoutheastDelta",579,64992.57,37.997916,-121.426508,11,877632.3,"2004","2004_11",0,0.5,1,2004,"Channel","SoutheastDelta"
"580",316,"2005",4,417,575,979,0.211567732115677,0.291730086250634,0.496702181633688,0,0,0,5985,1368,"316_2005",14,319,"SlowShallows","SouthwestDelta",580,26928.37,38.00833,-121.5489,100,1212365.58,"2004","2004_100",32.25,0,12,2004,"SlowShallows","SouthwestDelta"
"581",318,"2005",4,274,540,1118,0.141821946169772,0.279503105590062,0.578674948240166,0,0,0,4950,1917,"318_2005",15,321,"Channel","SoutheastDelta",581,21035.96,38.007746,-121.442166,13,1804608.06,"2004","2004_13",22,0,8,2004,"Channel","SoutheastDelta"
"582",319,"2005",4,18,164,1602,0.0100896860986547,0.0919282511210762,0.897982062780269,0,0,0,1431,765,"319_2005",15,322,"Channel","SoutheastDelta",582,24737.38,38.008255,-121.441825,13,1804608.06,"2004","2004_13",22,0,8,2004,"Channel","SoutheastDelta"
"583",321,"2005",4,0,197,1031,0,0.16042345276873,0.83957654723127,0,0,0,2160,0,"321_2005",12,324,"Channel","SouthwestDelta",583,16302.64,38.022482,-121.512417,15,2480455.72,"2004","2004_15",34.5,0,14,2004,"Channel","SouthwestDelta"
"584",322,"2005",1,0,367,1459,0,0.200985761226725,0.799014238773275,0,0,0,3537,0,"322_2005",9,325,"Channel","SouthwestDelta",584,23601.05,38.025384,-121.505094,15,2480455.72,"2004","2004_15",34.5,0,14,2004,"Channel","SouthwestDelta"
"585",323,"2005",0,462,467,2616,0.130324400564175,0.131734837799718,0.737940761636107,3,0,0,2646,3888,"323_2005",5,326,"Channel","SouthwestDelta",585,37436.5,38.021568,-121.559942,101,1796195.6,"2004","2004_101",15.25,0,6,2004,"Channel","SouthwestDelta"
"586",324,"2005",1,0,346,1741,0,0.165788212745568,0.834211787254432,0,0,0,4914,189,"324_2005",14,327,"Channel","SoutheastDelta",586,31107.29,38.045136,-121.394401,31,322723.87,"2004","2004_31",28.25,0,11,2004,"Channel","SoutheastDelta"
"587",325,"2005",1,1891,2349,4771,0.20985462212851,0.26068138941294,0.529463988458551,0,0,0,13005,7263,"325_2005",9,328,"Channel","LowerSJRiver",587,117156,38.065636,-121.535391,16,3742966.2,"2004","2004_16",21.25,0,9,2004,"Channel","LowerSJRiver"
"588",326,"2005",4,710,191,68,0.732714138286894,0.197110423116615,0.0701754385964912,0,0,0,3438,6075,"326_2005",4,329,"SlowShallows","LowerSJRiver",588,38627.48,38.060588,-121.540503,16,3742966.2,"2004","2004_16",21.25,0,9,2004,"SlowShallows","LowerSJRiver"
"589",327,"2005",4,75,982,3343,0.0170454545454545,0.223181818181818,0.759772727272727,0,0,0,4914,1422,"327_2005",10,330,"SlowShallows","SouthwestDelta",589,55331.43,37.974641,-121.576927,98,948769.45,"2004","2004_98",22,0,9,2004,"SlowShallows","SouthwestDelta"
"590",328,"2005",4,82,792,2661,0.0231966053748232,0.224045261669024,0.752758132956153,0,0,0,4500,963,"328_2005",8,331,"Channel","SouthwestDelta",590,47184.53,37.979789,-121.57566,98,948769.45,"2004","2004_98",22,0,9,2004,"Channel","SouthwestDelta"
"591",329,"2005",2,260,1444,3493,0.0500288628054647,0.277852607273427,0.672118529921108,0,0,0,6597,4068,"329_2005",9,332,"Channel","SouthwestDelta",591,59520.28,37.971562,-121.594259,96,239442.33,"2004","2004_96",14.25,0,7,2004,"Channel","SouthwestDelta"
"592",330,"2005",4,432,839,2093,0.128418549346017,0.249405469678954,0.62217598097503,0,0,0,3285,792,"330_2005",14,333,"SlowShallows","SouthwestDelta",592,47295.8,37.998956,-121.622407,109,1113627.73,"2004","2004_109",12.25,0,6,2004,"SlowShallows","SouthwestDelta"
"593",331,"2005",1,886,10994,6862,0.0472735033614342,0.58659694803116,0.366129548607406,0,0,0,106110,2835,"331_2005",3,334,"FloodedIsland","SouthwestDelta",593,188973.17,38.04551,-121.631923,105,1822957.28,"2004","2004_105",5.75,0,2,2004,"FloodedIsland","SouthwestDelta"
"594",332,"2005",0,581,4773,9634,0.0387643448091807,0.318454763811049,0.64278089137977,0,2,0,31545,8784,"332_2005",5,335,"Channel","SouthwestDelta",594,235359.64,38.039086,-121.581695,103,1247251.46,"2004","2004_103",7.25,0,3,2004,"Channel","SouthwestDelta"
"595",333,"2005",4,935,2860,3882,0.121792366809952,0.372541357301029,0.505666275889019,0,0,0,20358,5904,"333_2005",8,336,"SlowShallows","SouthwestDelta",595,104591.92,38.024306,-121.598044,108,671195.6,"2004","2004_108",3,0,1,2004,"SlowShallows","SouthwestDelta"
"596",334,"2005",1,185,328,1237,0.105714285714286,0.187428571428571,0.706857142857143,0,0,0,2349,1368,"334_2005",9,337,"Channel","SouthwestDelta",596,23219.18,37.99609,-121.506632,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"Channel","SouthwestDelta"
"597",335,"2005",4,454,257,482,0.380553227158424,0.215423302598491,0.404023470243085,0,0,0,2079,2124,"335_2005",11,338,"SlowShallows","SouthwestDelta",597,15200.17,37.998237,-121.509784,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"SlowShallows","SouthwestDelta"
"598",336,"2005",4,308,190,458,0.322175732217573,0.198744769874477,0.47907949790795,0,0,0,945,2646,"336_2005",10,339,"SlowShallows","SouthwestDelta",598,17523.97,37.997098,-121.508995,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"SlowShallows","SouthwestDelta"
"599",337,"2005",4,263,644,1253,0.121759259259259,0.298148148148148,0.580092592592593,0,0,0,5112,1971,"337_2005",12,340,"Channel","SouthwestDelta",599,33581.34,37.999502,-121.511043,65,2274489.69,"2004","2004_65",13.5,0,5,2004,"Channel","SouthwestDelta"
"600",338,"2005",4,804,1220,2355,0.183603562457182,0.278602420643983,0.537794016898835,0,0,0,4140,6849,"338_2005",10,341,"SlowShallows","SouthwestDelta",600,54044.03,38.007717,-121.512438,68,1119203.19,"2004","2004_68",10.5,0,4,2004,"SlowShallows","SouthwestDelta"
"601",339,"2005",4,249,1209,1390,0.0874297752808989,0.424508426966292,0.488061797752809,0,0,0,8109,603,"339_2005",9,342,"SlowShallows","SouthwestDelta",601,35670.57,38.009275,-121.511338,68,1119203.19,"2004","2004_68",10.5,0,4,2004,"SlowShallows","SouthwestDelta"
"602",340,"2005",0,35,350,4,0.089974293059126,0.89974293059126,0.0102827763496144,0,1,0,5094,63,"340_2005",3,343,"DeadendSlough","NortheastDelta",602,24993,38.281871,-121.436919,215,805534.86,"2004","2004_215",0,26.75,13,2004,"SlowShallows","NorthDelta"
"603",341,"2005",2,174,8172,1425,0.0178077985876574,0.836352471599632,0.145839729812711,0,0,0,62100,612,"341_2005",15,344,"DeadendSlough","NortheastDelta",603,180013.43,38.27483,-121.45234,215,805534.86,"2004","2004_215",0,26.75,13,2004,"SlowShallows","NorthDelta"
"604",342,"2005",1,48,526,974,0.0310077519379845,0.339793281653747,0.629198966408269,0,0,0,11934,18,"342_2005",11,345,"DeadendSlough","NortheastDelta",604,39146.56,38.265514,-121.458685,215,805534.86,"2004","2004_215",0,26.75,13,2004,"SlowShallows","NorthDelta"
"605",343,"2005",2,27,1800,1298,0.00864,0.576,0.41536,0,0,0,12006,36,"343_2005",16,346,"DeadendSlough","NortheastDelta",605,59722.92,38.269891,-121.45925,215,805534.86,"2004","2004_215",0,26.75,13,2004,"SlowShallows","NorthDelta"
"606",344,"2005",1,100,1016,869,0.0503778337531486,0.51183879093199,0.437783375314861,0,0,0,10440,1629,"344_2005",13,347,"Channel","NortheastDelta",606,46749.17,38.267949,-121.46199,215,805534.86,"2004","2004_215",0,26.75,13,2004,"Channel","NorthDelta"
"607",345,"2005",1,116,5108,1199,0.0180600965281021,0.795267009185739,0.186672894286159,0,0,0,56394,99,"345_2005",9,348,"Channel","NortheastDelta",607,116979.65,38.264558,-121.46273,215,805534.86,"2004","2004_215",0,26.75,13,2004,"Channel","NorthDelta"
"608",346,"2005",1,104,1917,2486,0.0230752163301531,0.425338362547149,0.551586421122698,0,0,0,10044,135,"346_2005",12,349,"Channel","NortheastDelta",608,79260.28,38.269533,-121.472394,215,805534.86,"2004","2004_215",0,26.75,13,2004,"Channel","NorthDelta"
"609",349,"2005",1,137,3005,2504,0.0242649663478569,0.532235210768686,0.443499822883457,0,0,0,21105,621,"349_2005",14,352,"SlowShallows","NortheastDelta",609,97852.25,38.275555,-121.49596,216,360673.96,"2004","2004_216",0,10.75,6,2004,"SlowShallows","NorthDelta"
"610",350,"2005",1,45,442,531,0.0442043222003929,0.434184675834971,0.521611001964637,0,0,0,666,324,"350_2005",11,353,"SlowShallows","NortheastDelta",610,15048.04,38.267932,-121.497309,216,360673.96,"2004","2004_216",0,10.75,6,2004,"SlowShallows","NorthDelta"
"611",351,"2005",0,51,362,229,0.0794392523364486,0.56386292834891,0.356697819314642,0,2,0,1233,279,"351_2005",12,354,"Channel","NortheastDelta",611,11334.88,38.269311,-121.497287,216,360673.96,"2004","2004_216",0,10.75,6,2004,"Channel","NorthDelta"
"612",352,"2005",2,41,527,320,0.0461711711711712,0.593468468468468,0.36036036036036,0,0,0,1125,81,"352_2005",13,355,"Channel","NortheastDelta",612,11614.08,38.251167,-121.499404,214,445187.51,"2004","2004_214",0,7.75,5,2004,"Channel","NorthDelta"
"613",353,"2005",2,93,2348,5038,0.0124348174889691,0.313945714667736,0.673619467843295,0,0,0,13122,369,"353_2005",12,356,"Channel","NortheastDelta",613,119833.87,38.28858,-121.504198,217,651388.26,"2004","2004_217",0,24.25,16,2004,"Channel","NorthDelta"
"614",354,"2005",0,6,239,288,0.0112570356472795,0.448405253283302,0.540337711069418,1,0,0,1854,108,"354_2005",13,357,"Channel","NortheastDelta",614,9462.95,38.285228,-121.504948,217,651388.26,"2004","2004_217",0,24.25,16,2004,"Channel","NorthDelta"
"615",356,"2005",2,87,2371,858,0.0262364294330519,0.715018094089264,0.258745476477684,0,0,0,18702,486,"356_2005",13,359,"SlowShallows","NortheastDelta",615,70676.2,38.299695,-121.508877,217,651388.26,"2004","2004_217",0,24.25,16,2004,"SlowShallows","NorthDelta"
"616",357,"2005",2,67,1109,223,0.047891350964975,0.792709077912795,0.15939957112223,0,0,0,12267,351,"357_2005",15,360,"Channel","NortheastDelta",616,23959.45,38.308558,-121.50981,217,651388.26,"2004","2004_217",0,24.25,16,2004,"Channel","NorthDelta"
"617",358,"2005",1,21,463,290,0.0271317829457364,0.598191214470284,0.374677002583979,0,0,0,6057,117,"358_2005",4,361,"SlowShallows","NortheastDelta",617,21978.95,38.319953,-121.498483,219,69072.4,"2004","2004_219",0,23.5,14,2004,"SlowShallows","NorthDelta"
"618",359,"2005",1,19,268,1877,0.00878003696857671,0.123844731977819,0.867375231053604,0,0,0,8001,5679,"359_2005",1,362,"SlowShallows","NortheastDelta",618,30471.44,38.320965,-121.495658,220,399693.61,"2004","2004_220",0,101.95,53,2004,"SlowShallows","NorthDelta"
"619",360,"2005",0,1855,1,4,0.997311827956989,0.000537634408602151,0.0021505376344086,0,0,0,171,18738,"360_2005",0,363,"SlowShallows","NortheastDelta",619,47841.11,38.323508,-121.519685,246,1222452.71,"2004","2004_246",NA,NA,NA,NA,"SlowShallows","NorthDelta"
"620",361,"2005",0,10,70,8335,0.0011883541295306,0.0083184789067142,0.990493166963755,0,0,0,31293,378,"361_2005",0,364,"FloodedIsland","CacheSlLibertyIs",620,114733.83,38.320025,-121.679517,275,930733.51,"2004","2004_275",NA,NA,NA,NA,"FloodedIsland","NorthDelta"
"621",362,"2005",0,35,368,10579,0.00318703332726279,0.0335093789837917,0.963303587688946,0,0,0,7632,171,"362_2005",0,365,"FloodedIsland","CacheSlLibertyIs",621,143117.55,38.308571,-121.682799,270,6970384.44,"2004","2004_270",8,0,3,2004,"FloodedIsland","NorthDelta"
"622",363,"2005",0,327,62,6197,0.0496507743698755,0.00941390829031278,0.940935317339812,0,0,0,4428,1332,"363_2005",0,366,"FloodedIsland","CacheSlLibertyIs",622,88266.77,38.300962,-121.683447,270,6970384.44,"2004","2004_270",8,0,3,2004,"FloodedIsland","NorthDelta"
"623",364,"2005",0,1229,96,58,0.888647866955893,0.06941431670282,0.0419378163412871,0,2,0,1026,10611,"364_2005",4,367,"SlowShallows","SouthwestDelta",623,25532.53,37.90524,-121.503325,52,420856.28,"2004","2004_52",5.5,0,2,2004,"SlowShallows","SouthwestDelta"
"624",365,"2005",4,322,1880,2291,0.0716670376140663,0.418428666815046,0.509904295570888,0,0,0,13158,306,"365_2005",11,368,"SlowShallows","SouthwestDelta",624,61899.28,37.908712,-121.509778,53,510134.69,"2004","2004_53",11,0,4,2004,"SlowShallows","SouthwestDelta"
